mouseReads	humanReads	mouseMT	humanMT	mouseNuclearReads	humanNuclearReads	nuclearMouseHumanRatio	mtMouseHumanRatio	fracMito	totalAlignedReads
276	3886	81	2095	195	1791	0.108877721943049	0.0386634844868735	0.522825564632388	4162
14369	11462	1957	9229	12412	2233	5.55844155844156	0.212048976053744	0.433045565405908	25831
2803	79	1850	73	953	6	158.833333333333	25.3424657534247	0.667244968771686	2882
1615	763	1097	665	518	98	5.28571428571429	1.64962406015038	0.740958788898234	2378
25841	9489	10150	3813	15691	5676	2.76444679351656	2.66194597429845	0.395216529861308	35330
7030	53	44	8	6986	45	155.244444444444	5.5	0.00734152195397431	7083
3313	13934	35	8926	3278	5008	0.654552715654952	0.00392112928523415	0.519568620629675	17247
38075	236	5327	88	32748	148	221.27027027027	60.5340909090909	0.141343217352719	38311
172488	3172	4391	74	168097	3098	54.2598450613299	59.3378378378378	0.0254184219514972	175660
16465	141	4216	54	12249	87	140.793103448276	78.0740740740741	0.257135974948814	16606
1504	93	651	90	853	3	284.333333333333	7.23333333333333	0.463994990607389	1597
1499	3046	0	253	1499	2793	0.536698890082349	0	0.0556655665566557	4545
4569	193	2567	155	2002	38	52.6842105263158	16.5612903225806	0.571608567828643	4762
2369	42	420	16	1949	26	74.9615384615385	26.25	0.180837826627955	2411
144	1858	54	346	90	1512	0.0595238095238095	0.15606936416185	0.1998001998002	2002
110	33061	23	16100	87	16961	0.00512941453923707	0.00142857142857143	0.486057098067589	33171
26142	361	4823	327	21319	34	627.029411764706	14.7492354740061	0.194317624419877	26503
2193	108	440	52	1753	56	31.3035714285714	8.46153846153846	0.213820078226858	2301
1550	19	1221	12	329	7	47	101.75	0.78585086042065	1569
259	2955	24	1907	235	1048	0.224236641221374	0.0125852123754588	0.600808960796515	3214
483	61840	158	22209	325	39631	0.00820065100552598	0.00711423296861633	0.358888371869133	62323
175	3159	0	2198	175	961	0.18210197710718	0	0.659268146370726	3334
35	4304	24	2789	11	1515	0.00726072607260726	0.00860523485120115	0.648306061304448	4339
567	13105	0	653	567	12452	0.0455348538387408	0	0.0477618490345231	13672
2843	4	2046	1	797	3	265.666666666667	2046	0.719002458728486	2847
141	23750	36	6571	105	17179	0.00611211362710286	0.00547861817075027	0.276547653928257	23891
33595	315	3265	139	30330	176	172.329545454545	23.4892086330935	0.10038336773813	33910
35	4911	23	2147	12	2764	0.00434153400868307	0.0107126222636237	0.438738374443995	4946
48082	180	13414	64	34668	116	298.862068965517	209.59375	0.279267332476897	48262
28	4117	3	2249	25	1868	0.0133832976445396	0.00133392618941752	0.543305186972256	4145
205452	903	30349	167	175103	736	237.911684782609	181.730538922156	0.147881078723559	206355
23652	327	3119	165	20533	162	126.746913580247	18.9030303030303	0.136953167354769	23979
567	821	0	681	567	140	4.05	0	0.490634005763689	1388
14	753	0	271	14	482	0.029045643153527	0	0.353324641460235	767
1691	104	584	25	1107	79	14.0126582278481	23.36	0.339275766016713	1795
65	3409	2	2849	63	560	0.1125	0.000702000702000702	0.820667818077145	3474
388	98210	194	36433	194	61777	0.00314032730627904	0.00532484286224028	0.371478123288505	98598
6503	14	3567	8	2936	6	489.333333333333	445.875	0.548565290777965	6517
139	813	1	622	138	191	0.722513089005236	0.00160771704180064	0.654411764705882	952
7948	110	1547	68	6401	42	152.404761904762	22.75	0.20042194092827	8058
171	251	68	117	103	134	0.76865671641791	0.581196581196581	0.438388625592417	422
181	16251	50	5519	131	10732	0.0122064852776742	0.00905961224859576	0.338911879259981	16432
5302	21	2900	16	2402	5	480.4	181.25	0.54781138455758	5323
177422	2111	28794	1021	148628	1090	136.355963302752	28.2017629774731	0.166069747623	179533
13052	80	5521	47	7531	33	228.212121212121	117.468085106383	0.424002436795614	13132
329	1465	16	1258	313	207	1.51207729468599	0.0127186009538951	0.710144927536232	1794
250	27376	32	16361	218	11015	0.0197911938266001	0.00195587066805208	0.593390284514588	27626
198	8515	65	2488	133	6027	0.0220673635307782	0.0261254019292604	0.293010444163893	8713
142	12883	21	4119	121	8764	0.0138064810588772	0.00509832483612527	0.317850287907869	13025
40	12199	0	4811	40	7388	0.00541418516513265	0	0.39308767056132	12239
439	57813	14	22946	425	34867	0.0121891760117016	0.00061012812690665	0.394149557096752	58252
437	15630	75	8066	362	7564	0.0478582760444209	0.00929828911480288	0.506690732557416	16067
1726	4	632	4	1094	0	Inf	158	0.367630057803468	1730
28161	270	6106	147	22055	123	179.308943089431	41.5374149659864	0.219935985368084	28431
262	40221	39	15042	223	25179	0.00885658683823821	0.00259274032708416	0.372526739619099	40483
12498	190	1807	65	10691	125	85.528	27.8	0.147540983606557	12688
289	222	40	65	249	157	1.5859872611465	0.615384615384615	0.205479452054795	511
111	1547	11	1055	100	492	0.203252032520325	0.0104265402843602	0.642943305186972	1658
19883	538	1573	318	18310	220	83.2272727272727	4.94654088050314	0.092600754125655	20421
302	7117	85	5239	217	1878	0.115548455804047	0.0162244703187631	0.717616929505324	7419
259	41618	85	23568	174	18050	0.0096398891966759	0.00360658520027155	0.564820784678941	41877
53	738	0	443	53	295	0.179661016949153	0	0.560050568900126	791
11	1278	2	546	9	732	0.0122950819672131	0.00366300366300366	0.425135764158262	1289
272	192	26	63	246	129	1.90697674418605	0.412698412698413	0.191810344827586	464
51	17019	19	12757	32	4262	0.00750821210699202	0.00148937838049698	0.748447568834212	17070
33773	11023	12336	5958	21437	5065	4.23237907206318	2.07049345417925	0.408384677203322	44796
27008	177	8326	89	18682	88	212.295454545455	93.5505617977528	0.309545705352216	27185
123500	569	29495	103	94005	466	201.727467811159	286.359223300971	0.238560800844691	124069
142	4173	23	2557	119	1616	0.0736386138613861	0.00899491591709034	0.597914252607184	4315
110	7067	86	5524	24	1543	0.0155541153596889	0.0155684286748733	0.78166364776369	7177
632	15	109	6	523	9	58.1111111111111	18.1666666666667	0.17774343122102	647
1129	47375	552	13925	577	33450	0.0172496263079223	0.039640933572711	0.298470229259442	48504
371	178640	15	27840	356	150800	0.00236074270557029	0.000538793103448276	0.155604962823514	179011
469	18	59	5	410	13	31.5384615384615	11.8	0.131416837782341	487
617	48075	9	11837	608	36238	0.016777967879022	0.000760327785756526	0.243284317752403	48692
16115	50	3539	10	12576	40	314.4	353.9	0.219548407052273	16165
111	195	14	82	97	113	0.858407079646018	0.170731707317073	0.313725490196078	306
293	22872	87	9834	206	13038	0.0157999693204479	0.00884685784014643	0.428275415497518	23165
771	162863	107	41158	664	121705	0.00545581529107268	0.00259973759657904	0.252178642580393	163634
10865	3023	7828	1812	3037	1211	2.50784475639967	4.32008830022075	0.694124423963134	13888
455	3	12	2	443	1	443	6	0.0305676855895196	458
157	4778	68	1986	89	2792	0.0318767908309456	0.0342396777442095	0.416210739614995	4935
80	1236	19	595	61	641	0.0951638065522621	0.0319327731092437	0.466565349544073	1316
5	4962	2	3679	3	1283	0.00233826968043648	0.000543625985322098	0.741091201932756	4967
10	2792	0	1437	10	1355	0.00738007380073801	0	0.512847965738758	2802
1890	44	877	4	1013	40	25.325	219.25	0.455532574974147	1934
6214	12	1481	6	4733	6	788.833333333333	246.833333333333	0.238837134596852	6226
1084	198	353	173	731	25	29.24	2.04046242774566	0.410296411856474	1282
392	18817	15	10714	377	8103	0.0465259780328273	0.00140003733432892	0.558540267582904	19209
37614	664	8381	203	29233	461	63.412147505423	41.2857142857143	0.224254140759705	38278
1922	64	1186	46	736	18	40.8888888888889	25.7826086956522	0.620342396777442	1986
107	56141	24	28663	83	27478	0.00302059829681927	0.000837316400935003	0.510009244773147	56248
27	1770	0	1358	27	412	0.0655339805825243	0	0.755703951029494	1797
239	1524	24	970	215	554	0.388086642599278	0.0247422680412371	0.563811684628474	1763
757	225752	114	63398	643	162354	0.00396048141715018	0.00179816397993628	0.280395039490705	226509
31	4154	8	2109	23	2045	0.0112469437652812	0.00379326695116169	0.505854241338112	4185
28	179	12	68	16	111	0.144144144144144	0.176470588235294	0.386473429951691	207
15086	270	4924	207	10162	63	161.301587301587	23.7874396135266	0.334136493878614	15356
35312	59	8940	4	26372	55	479.490909090909	2235	0.252862514489271	35371
426	5464	10	4884	416	580	0.717241379310345	0.00204750204750205	0.830899830220713	5890
340	44190	153	5862	187	38328	0.00487893967856397	0.026100307062436	0.135077475858971	44530
60	1319	20	1134	40	185	0.216216216216216	0.017636684303351	0.836838288614938	1379
38	7093	11	2921	27	4172	0.00647171620325983	0.00376583361862376	0.411162529799467	7131
203	47559	8	14709	195	32850	0.00593607305936073	0.000543884696444354	0.308131987772706	47762
935	47	365	29	570	18	31.6666666666667	12.5862068965517	0.40122199592668	982
199	13850	101	11098	98	2752	0.0356104651162791	0.00910073887186881	0.797138586376255	14049
15	1982	4	189	11	1793	0.00613496932515337	0.0211640211640212	0.0966449674511768	1997
5736	7537	2341	4841	3395	2696	1.25927299703264	0.483577773187358	0.541098470579372	13273
6047	127	1566	105	4481	22	203.681818181818	14.9142857142857	0.270651117589893	6174
49	3058	13	38	36	3020	0.0119205298013245	0.342105263157895	0.0164145477953009	3107
222	22445	134	16047	88	6398	0.0137542982181932	0.00835047049292703	0.713857149159571	22667
